# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
ai ni 	愛你	c=13 d=1 t=163914
ai si 	愛思	c=2 d=1 t=71713
ai si 	愛死	c=1 d=1 t=118488
ai ta 	艾他	c=1 d=1 t=151265
ai xin 	愛心	c=1 d=1 t=175287
ai ya 	哎呀	c=1 d=1 t=168190
ai ya 	噯呀	c=2 d=1 t=168189
ai yao 	哎喲	c=1 d=1 t=124744
ai zheng 	癌症	c=1 d=1 t=89397
an 	俺	c=32 d=1 t=174959
an 	安	c=2 d=1.1159 t=133602
an 	岸	c=1 d=1 t=171818
an 	按	c=33 d=1 t=173787
an 	暗	c=2 d=1 t=75411
an 	案	c=10 d=1 t=173352
an bian 	岸邊	c=1 d=1 t=90592
an bu zhi dao 	按不知道	c=1 d=1 t=68715
an cha 	按察	c=1 d=1 t=117289
an de sen 	安德森	c=2 d=0.1 t=174428
an de sen fa sheng de 	安德森發生地	c=1 d=1 t=174429
an ge 	安格	c=5 d=1 t=157587
an ge ren 	按個人	c=1 d=1 t=61449
an ge si 	安格斯	c=1 d=1 t=10464
an hong 	暗紅	c=1 d=1 t=75413
an hui 	安徽	c=2 d=1.97045 t=133186
an jian 	案件	c=90 d=1 t=168010
an jian lie biao 	案件列表	c=1 d=1 t=103961
an jing 	安靜	c=0 d=0.1 t=87412
an jiu 	俺就	c=1 d=1 t=121186
an jue de 	俺覺得	c=1 d=1 t=118763
an ka 	案卡	c=159 d=1.97045 t=175161
an kai 	按開	c=2 d=1 t=170616
an kang 	安康	c=1 d=1 t=117172
an ke yi 	按可以	c=1 d=1 t=143070
an li 	安利	c=1 d=1 t=174347
an li shuo 	按理說	c=5 d=1 t=145630
an mei 	俺沒	c=1 d=1 t=117235
an mei you 	俺沒有	c=1 d=1 t=160214
an men 	俺們	c=2 d=1 t=160890
an mo 	按摩	c=5 d=1 t=117207
an ni 	安妮	c=1 d=1 t=69467
an ning 	安寧	c=2 d=1 t=152228
an niu 	按鈕	c=11 d=1 t=158532
an pai 	安排	c=22 d=3.77385e-07 t=176129
an pai xia 	安排下	c=1 d=1 t=139908
an pi ci 	按批次	c=1 d=1 t=150433
an quan 	安全	c=4 d=1 t=170431
an quan zu 	安全組	c=2 d=1.74453 t=43861
an sheng 	安生	c=3 d=1.06235 t=131434
an shi 	按時	c=7 d=1 t=165405
an shi 	暗示	c=1 d=1 t=132181
an shi di fang 	按時地方	c=2 d=1 t=139435
an tian 	按天	c=1 d=2.43679e-08 t=176129
an wei 	安慰	c=1 d=1 t=11887
an wo 	安臥	c=1 d=1 t=117443
an wo de 	按我的	c=1 d=1 t=31317
an wu tian ri 	暗無天日	c=1 d=1 t=44204
an xia qu 	按下去	c=1 d=1 t=164714
an xin 	安心	c=7 d=1.05004 t=168892
an yao shi 	按要是	c=1 d=1 t=137124
an ye 	俺也	c=55 d=1.00052 t=175328
an ye bu 	俺也不	c=1 d=1 t=127796
an ye bu xin 	俺也不信	c=1 d=1 t=31699
an ye bu zhi dao 	俺也不知道	c=1 d=1 t=153822
an ye jing ling 	暗夜精灵	c=1 d=1 t=101107
an ye kun 	俺也困	c=1 d=1 t=87737
an ye shi 	俺也是	c=4 d=1 t=139938
an yi 	啽囈	c=1 d=1 t=89505
an yi 	安義	c=0 d=0.1 t=8295
an yi gu 	安義谷	c=1 d=1 t=8296
an yuan 	案源	c=1 d=1 t=115771
an yue 	按月	c=1 d=1 t=59195
an zai 	俺在	c=1 d=1 t=48177
an zhao 	按照	c=34 d=4.01827e-10 t=176129
an zhe ge 	按這個	c=1 d=1 t=163335
an zhu 	按住	c=1 d=1 t=94598
an zhuang 	安裝	c=18 d=1 t=173267
an zhuo 	安卓	c=23 d=0.254941 t=176129
ao 	奧	c=3 d=1 t=74175
ao 	熬	c=5 d=1 t=156593
ao ba 	奧巴	c=0 d=0.1 t=36750
ao di 	奧迪	c=3 d=1 t=147302
ao guo 	熬過	c=2 d=1 t=147128
ao long 	澳龍	c=1 d=1 t=9050
ao nao 	懊惱	c=0 d=0.1 t=10746
ao nao ge 	懊惱哥	c=2 d=1 t=167281
ao te man 	奧特曼	c=2 d=1.97531 t=5637
ao ye 	熬夜	c=11 d=1 t=156562
ao zi 	襖子	c=2 d=1 t=97947
ba 	八	c=1 d=1 t=41994
ba 	吧	c=1338 d=0.744481 t=176129
ba 	把	c=241 d=0.0465595 t=176129
ba 	拔	c=1 d=1 t=136447
ba 	爸	c=10 d=0.1 t=166877
ba ba 	叭叭	c=1 d=1 t=72326
ba ba 	爸爸	c=8 d=1 t=124413
ba ba 	粑粑	c=1 d=1 t=118511
ba bao 	八寶	c=5 d=1 t=167837
ba bing 	把柄	c=1 d=1 t=32188
ba bu de 	巴不得	c=1 d=1 t=21062
ba dao 	霸道	c=1 d=1 t=139758
ba dian ban 	八點半	c=1 d=1 t=169323
ba gua 	八卦	c=1 d=1 t=137839
ba ma 	爸媽	c=8 d=1 t=118857
ba na ge 	把那個	c=1 d=1 t=20752
ba ni 	把你	c=11 d=0.0040457 t=176129
ba ni de 	吧你的	c=1 d=1 t=34859
ba ren 	把人	c=1 d=0.1 t=94120
ba sa 	巴薩	c=1 d=1 t=40204
ba she 	跋涉	c=1 d=1 t=58192
ba ta 	把它	c=3 d=1 t=130909
ba wang 	霸王	c=1 d=1 t=106113
ba wo 	把我	c=16 d=1 t=167023
ba wo de 	吧我的	c=5 d=0.00402593 t=176129
ba zi ji 	把自己	c=1 d=1 t=21578
bai 	拜	c=1 d=1 t=125548
bai 	擺	c=5 d=0.0068135 t=176129
bai 	敗	c=1 d=1 t=51176
bai 	白	c=12 d=3.62588e-07 t=176129
bai 	百	c=1 d=0.1 t=171393
bai bai jing jing 	白白淨淨	c=1 d=1 t=146239
bai bian 	百變	c=1 d=1 t=105979
bai cai 	白菜	c=2 d=1 t=172149
bai du 	百度	c=12 d=1 t=168212
bai du bai du 	百度百度	c=2 d=1 t=115636
bai fen zhi yi 	百分之一	c=1 d=1 t=78484
bai gai 	白改	c=1 d=1 t=99153
bai gan 	白乾	c=1 d=1 t=67041
bai hua hua 	白花花	c=1 d=1 t=78596
bai jian 	擺件	c=1 d=1 t=118782
bai jie 	白潔	c=2 d=1.99501 t=26156
bai jin 	白金	c=1 d=1 t=140295
bai ming 	擺明	c=1 d=1 t=66222
bai ming dan 	白名單	c=6 d=1.89137 t=89935
bai piao 	白嫖	c=2 d=1 t=133747
bai qi lai 	擺起來	c=1 d=1 t=96413
bai se 	白色	c=6 d=1 t=107849
bai se 	百色	c=1 d=1 t=17764
bai she 	擺設	c=1 d=1 t=45884
bai shui 	白水	c=1 d=1 t=52989
bai shuo 	白說	c=1 d=1 t=16491
bai tan 	擺攤	c=1 d=1 t=170781
bai tian 	白天	c=10 d=2.75411e-07 t=176129
bai tou 	拜投	c=2 d=1 t=58359
bai tou 	白頭	c=1 d=1 t=12471
bai wan 	百萬	c=2 d=1 t=149364
bai yun 	白雲	c=0 d=0.1 t=118647
bai yun bian 	白雲邊	c=3 d=1.86071 t=126033
ban 	伴	c=1 d=1 t=130631
ban 	半	c=45 d=0.00357953 t=176129
ban 	拌	c=2 d=1 t=143629
ban 	搬	c=35 d=1 t=132071
ban 	板	c=3 d=1 t=34419
ban 	版	c=4 d=8.42904e-07 t=176129
ban 	班	c=42 d=1.00117 t=170361
ban 	般	c=3 d=1.00001 t=12753
ban 	辦	c=55 d=1.0007 t=174344
ban bei 	半杯	c=1 d=1 t=128848
ban ben 	版本	c=82 d=1 t=173652
ban ben hao 	版本號	c=4 d=1 t=163617
ban ben hou 	版本後	c=1 d=1 t=72215
ban ben na 	版本那	c=1 d=1 t=106559
ban bu 	半步	c=0 d=0.1 t=92881
ban bu dian 	半步顛	c=1 d=1 t=92882
ban dai ma 	搬代碼	c=1 d=1 t=98660
ban dao 	搬到	c=2 d=1 t=23504
ban dao ti 	半導體	c=1 d=2.81654e-06 t=176129
ban deng 	板凳	c=1 d=1 t=12528
ban er 	伴兒	c=1 d=1 t=105544
ban fa 	辦法	c=18 d=1.00023 t=171415
ban ge 	半個	c=56 d=0.106992 t=176129
ban ge yue 	半個月	c=6 d=1 t=138094
ban gong 	辦公	c=9 d=1 t=173937
ban gong shi 	辦公室	c=23 d=1 t=172378
ban gong shi de 	辦公室的	c=2 d=1 t=127412
ban hao 	辦好	c=1 d=1 t=95639
ban jia 	搬家	c=9 d=1 t=165432
ban jiao shi 	絆腳石	c=1 d=1 t=42744
ban jie 	辦結	c=6 d=1.91393 t=103126
ban jue 	拌絕	c=1 d=1 t=143632
ban ka 	辦卡	c=0 d=0.1 t=52606
ban lang 	伴郎	c=11 d=1 t=135719
ban li 	辦理	c=177 d=1.00235 t=175024
ban li zhong 	辦理中	c=1 d=1 t=138501
ban lu 	半路	c=1 d=1 t=9850
ban lv 	伴侶	c=2 d=1 t=172659
ban mian 	拌麪	c=2 d=1.97531 t=39740
ban ni men 	半你們	c=1 d=1 t=114354
ban nian 	半年	c=5 d=1 t=166712
ban niang 	伴娘	c=2 d=0.1 t=104282
ban ru zhi 	半入職	c=1 d=1 t=23373
ban ta men 	搬他們	c=3 d=1 t=153471
ban tang 	半糖	c=1 d=1 t=20037
ban tian 	半天	c=28 d=2.39431e-07 t=176129
ban wo men 	辦我們	c=1 d=1 t=58358
ban xiang 	半箱	c=2 d=1.96079 t=35685
ban xue qi 	半學期	c=1 d=1 t=24281
ban ye 	半夜	c=2 d=1 t=129370
ban yi ge 	辦一個	c=1 d=1 t=165480
ban zhuan 	搬磚	c=1 d=1 t=163504
bang 	幫	c=20 d=0.0122144 t=176129
bang 	棒	c=2 d=7.30286e-10 t=176129
bang ding 	綁定	c=69 d=1 t=171061
bang mang 	幫忙	c=36 d=1 t=171201
bang ni 	幫你	c=31 d=0.00394621 t=176129
bang ni nong 	幫你弄	c=1 d=1 t=66731
bang ren 	幫人	c=1 d=1 t=81474
bang shi er 	幫事兒	c=1 d=1 t=118838
bang ta 	幫他	c=8 d=2.2106e-09 t=176129
bang wo 	幫我	c=123 d=1.03249e-05 t=176129
bang wo dian 	幫我點	c=1 d=1 t=97992
bang wo men 	幫我們	c=1 d=1 t=103755
bang wo wen 	幫我問	c=1 d=1 t=155057
bang yang 	榜樣	c=1 d=1 t=90227
bang zhu 	幫助	c=1 d=1 t=148202
bang zi 	邦子	c=1 d=1 t=172151
bao 	保	c=3 d=1 t=95186
bao 	包	c=50 d=0.00802655 t=176129
bao 	堡	c=1 d=1 t=10465
bao 	報	c=58 d=1 t=173751
bao 	寶	c=20 d=1 t=174881
bao 	抱	c=4 d=1 t=157516
bao 	爆	c=3 d=1 t=72336
bao 	雹	c=1 d=1 t=77802
bao 	飽	c=4 d=1 t=158785
bao an 	保安	c=1 d=0.191092 t=176129
bao bao 	包包	c=1 d=1 t=34076
bao bao 	寶寶	c=186 d=1.51253 t=175889
bao bao 	抱抱	c=7 d=1.00107 t=174478
bao bao 	飽飽	c=3 d=1 t=154597
bao bao bao 	抱抱寶	c=1 d=1 t=136964
bao bei 	報備	c=3 d=1 t=101251
bao bei 	寶貝	c=4 d=1 t=152808
bao bei er 	寶貝兒	c=2 d=0.804688 t=166509
bao bei xia 	報備下	c=1 d=1 t=75073
bao ben 	保本	c=1 d=0.1 t=166436
bao biao 	報表	c=6 d=2.63329 t=174244
bao bu dong 	抱不動	c=2 d=1 t=161055
bao bu zhu 	包不住	c=1 d=1 t=147498
bao cai 	包菜	c=1 d=1 t=135798
bao chi 	保持	c=6 d=1 t=153902
bao cun 	保存	c=23 d=1 t=151064
bao cuo 	報錯	c=33 d=2.24363e-07 t=176129
bao dao 	報道	c=1 d=1 t=113889
bao de 	報德	c=1 d=1 t=156404
bao er 	寶兒	c=72 d=1.14194 t=175961
bao er er 	寶兒兒	c=1 d=1 t=175035
bao fei 	保費	c=1 d=1 t=135679
bao fu 	暴富	c=1 d=1 t=31080
bao gao 	報告	c=6 d=1 t=162446
bao gong tou 	包工頭	c=1 d=1 t=32669
bao guang 	爆光	c=1 d=1 t=10636
bao han 	包含	c=8 d=1.00003 t=166615
bao hao 	保號	c=1 d=1 t=73378
bao he 	飽和	c=1 d=1 t=163592
bao hu 	保護	c=1 d=1 t=29491
bao jia 	保價	c=2 d=1 t=75903
bao jia 	報價	c=1 d=1 t=24527
bao jie 	保潔	c=1 d=1 t=141791
bao jing 	報警	c=3 d=1 t=169599
bao kuo 	包括	c=1 d=1 t=39647
bao li 	包裏	c=1 d=1 t=34550
bao li 	暴力	c=1 d=1 t=150633
bao liao 	爆料	c=2 d=1.96561 t=151909
bao liu 	保留	c=2 d=1 t=121102
bao lu 	暴露	c=4 d=1.98511 t=59345
bao man 	爆滿	c=1 d=1 t=8337
bao nuan 	保暖	c=3 d=1 t=119721
bao nuan yi 	保暖衣	c=2 d=1 t=119740
bao qian 	抱歉	c=1 d=1 t=41908
bao ri zi 	報日子	c=1 d=1 t=118645
bao shang 	報上	c=1 d=1 t=85090
bao shi jie 	保時捷	c=2 d=1 t=170699
bao shui 	報稅	c=1 d=1 t=79846
bao ta 	寶塔	c=2 d=1.75201 t=98950
bao wen 	保溫	c=1 d=0.1 t=144499
bao wen bei 	保溫杯	c=2 d=1 t=81257
bao wen dai 	保溫帶	c=1 d=1 t=144500
bao xian 	保險	c=20 d=1.62921e-07 t=176129
bao xian jin 	保險金	c=3 d=1.04736e-07 t=176129
bao xiao 	報效	c=1 d=1 t=18673
bao xiao 	報銷	c=27 d=0.00158052 t=176129
bao yang 	保養	c=8 d=1.94649 t=163988
bao yang 	包養	c=1 d=1 t=145777
bao you 	保佑	c=1 d=1 t=139619
bao you 	包郵	c=0 d=0.1 t=5141
bao you quan 	包郵券	c=3 d=1.00015 t=7323
bao yu 	暴雨	c=1 d=1 t=18759
bao zai fan 	煲仔飯	c=1 d=1 t=142682
bao zha 	爆炸	c=1 d=1 t=74956
bao zhe 	抱着	c=0 d=0.1 t=115843
bao zheng 	保證	c=9 d=0.1 t=138676
bao zhi qi 	保質期	c=1 d=1 t=129888
bao zhuang 	包裝	c=20 d=1.00005 t=163828
bao zhuang xia 	包裝下	c=2 d=1 t=125577
bao zi 	包子	c=12 d=1 t=173254
bao zi dian 	包子店	c=1 d=1 t=157337
bao zi dian 	包子點	c=2 d=1 t=157336
bao zi pu 	包子鋪	c=1 d=1 t=140115
bei 	倍	c=3 d=1 t=158539
bei 	備	c=4 d=0.00690852 t=176129
bei 	北	c=1 d=1 t=51177
bei 	唄	c=143 d=0.597519 t=176129
bei 	盃	c=21 d=1 t=146699
bei 	背	c=16 d=8.85981e-10 t=176129
bei 	被	c=74 d=1.03351e-05 t=176129
bei 	貝	c=1 d=1 t=119074
bei an 	備案	c=15 d=1 t=157908
bei bao 	背包	c=2 d=1.97531 t=6158
bei bei 	背背	c=0 d=0.1 t=108138
bei bei jia 	背背佳	c=1 d=1 t=108139
bei ci 	背刺	c=2 d=1 t=165091
bei dan 	被單	c=1 d=1 t=133307
bei dian 	杯墊	c=2 d=1 t=170568
bei dong 	被動	c=0 d=0.1 t=45246
bei fen 	備份	c=7 d=1 t=173999
bei feng 	被封	c=1 d=1 t=34197
bei gai 	杯蓋	c=1 d=1 t=167726
bei gai 	被改	c=1 d=1 t=167727
bei guan 	悲觀	c=0 d=0.1 t=58231
bei guo 	背鍋	c=2 d=1 t=135952
bei hou 	背後	c=1 d=1 t=66747
bei huo 	備貨	c=1 d=1 t=31438
bei jing 	北京	c=1 d=1 t=25840
bei jing 	背景	c=2 d=1 t=24759
bei jing tu 	背景圖	c=1 d=1 t=107541
bei lv 	倍率	c=2 d=1.99501 t=4945
bei men 	北門	c=1 d=1 t=36517
bei ni 	被你	c=1 d=1 t=16513
bei ren 	被人	c=2 d=1 t=16467
bei shang 	背上	c=1 d=1 t=121963
bei wang 	備忘	c=2 d=1 t=159776
bei wang lu 	備忘錄	c=3 d=2.95101 t=41430
bei wo 	被我	c=5 d=1 t=150847
bei wo 	被窩	c=3 d=0.1 t=136875
bei yun 	備孕	c=1 d=1 t=25278
bei zhao 	被罩	c=1 d=1 t=175518
bei zhe 	背着	c=1 d=1 t=175869
bei zhe wo 	背着我	c=1 d=1 t=127258
bei zhu 	備註	c=5 d=0.440432 t=176129
bei zi 	杯子	c=15 d=1 t=146622
bei zi 	被子	c=3 d=2.89776 t=140871
ben 	本	c=4 d=1 t=99551
ben 	笨	c=3 d=1.99005 t=117728
ben ban 	本版	c=1 d=1 t=54080
ben chi 	奔馳	c=1 d=1 t=12449
ben ci 	本次	c=4 d=1 t=150890
ben di 	本地	c=27 d=2.4372e-10 t=176129
ben ding 	本定	c=1 d=1 t=131979
ben ji 	本級	c=4 d=1.93707 t=145779
ben jin 	本金	c=1 d=1 t=84656
ben ke 	本科	c=1 d=1 t=146468
ben lai 	本來	c=45 d=5.81827e-06 t=176129
ben mo dao zhi 	本末倒置	c=1 d=1 t=103441
ben pao 	奔跑	c=1 d=1 t=18733
ben qi 	本期	c=1 d=1 t=36073
ben ren 	本人	c=4 d=1 t=175860
ben ren 	笨人	c=1 d=1 t=36133
ben ren de 	本人的	c=1 d=1 t=36121
ben se 	本色	c=1 d=1 t=18181
ben shen 	本身	c=9 d=1 t=166482
ben shi 	本事	c=1 d=0.000665481 t=176129
ben yuan 	本院	c=17 d=1 t=109213
ben zhong 	笨重	c=1 d=1 t=21866
ben zhou 	本週	c=6 d=1 t=161872
beng 	蹦	c=2 d=1.99005 t=50892
beng bu 	蚌埠	c=0 d=0.1 t=72498
beng bu zhu 	蚌埠住	c=1 d=0.146421 t=73113
beng bu zhu le 	蚌埠住了	c=4 d=1 t=168576
beng kui 	崩潰	c=3 d=1 t=88850
bi 	幣	c=1 d=1 t=19235
bi 	必	c=3 d=1.36739 t=80636
bi 	比	c=38 d=7.24714e-05 t=176129
bi 	筆	c=11 d=1 t=39238
bi 	逼	c=5 d=1 t=93090
bi bi 	避避	c=1 d=1 t=121739
bi bu liao 	比不了	c=1 d=1 t=155534
bi bu shang 	比不上	c=1 d=1 t=134832
bi chuan 	必傳	c=2 d=1 t=88978
bi de 	逼得	c=1 d=1 t=140516
bi ei 	比誒	c=2 d=1 t=139263
bi feng 	逼瘋	c=2 d=1.96561 t=51895
bi hai 	碧海	c=1 d=1 t=118927
bi ji 	筆記	c=2 d=1 t=97412
bi ji ben 	筆記本	c=5 d=5.06789e-05 t=176129
bi jiao 	比較	c=13 d=0.185104 t=176129
bi jiao duo 	比較多	c=1 d=1 t=16352
bi jing 	畢竟	c=20 d=1 t=168481
bi kai 	避開	c=1 d=1 t=162229
bi mu 	閉目	c=2 d=1 t=153104
bi ni 	比你	c=3 d=1 t=122536
bi qi 	比起	c=1 d=1 t=150497
bi quan 	幣圈	c=1 d=1 t=107913
bi ran 	必然	c=3 d=1 t=138652
bi ru 	比如	c=18 d=1 t=169659
bi ru shuo 	比如說	c=1 d=0.00017252 t=176129
bi sai 	比賽	c=1 d=1 t=77351
bi shang 	閉上	c=2 d=1 t=137752
bi ti 	鼻涕	c=4 d=1 t=147188
bi tian 	必填	c=16 d=1 t=150258
bi wo 	比我	c=19 d=0.225373 t=176129
bi wo da 	比我大	c=1 d=1 t=47313
bi wo de 	比我的	c=2 d=0.00449405 t=176129
bi wo duo 	比我多	c=2 d=1 t=93362
bi wo gao 	比我高	c=2 d=1 t=79726
bi wo men 	比我們	c=2 d=1 t=102783
bi xu 	必須	c=62 d=0.0175097 t=176129
bi xu de 	必須的	c=1 d=1 t=140312
bi xu yao 	必須要	c=2 d=1 t=149340
bi xuan 	必選	c=1 d=1.76947e-08 t=176129
bi yan 	閉眼	c=1 d=1 t=85769
bi yan 	鼻炎	c=1 d=1 t=9183
bi yao 	必要	c=4 d=1 t=157776
bi yao xing 	必要性	c=1 d=1 t=64864
bi ye 	畢業	c=1 d=1 t=15667
bi ye sheng 	畢業生	c=2 d=1.0367 t=16346
bi zhe 	比這	c=2 d=1 t=75845
bi zhi 	壁紙	c=2 d=1.99005 t=142218
bi zhi qian 	比之前	c=1 d=1 t=68079
bi zi 	鼻子	c=4 d=1 t=173131
bi zui 	閉嘴	c=2 d=0.00190171 t=176129
bian 	便	c=3 d=3.24035e-08 t=176129
bian 	扁	c=1 d=1 t=157558
bian 	編	c=15 d=1 t=166349
bian 	變	c=26 d=4.79669e-05 t=176129
bian 	遍	c=0 d=0.1 t=51905
bian 	邊	c=17 d=0.000108909 t=176129
bian bai 	變白	c=1 d=1 t=93201
bian cheng 	編程	c=2 d=1 t=146984
bian cheng 	變成	c=16 d=1.89777e-08 t=176129
bian chui 	邊陲	c=1 d=1 t=87981
bian da 	變大	c=2 d=1.91685e-08 t=176129
bian dang 	便當	c=2 d=0.1 t=146015
bian di 	遍地	c=1 d=1 t=32873
bian dong 	變動	c=8 d=1 t=119597
bian geng 	變更	c=13 d=1 t=138926
bian geng guo 	變更過	c=1 d=1 t=100044
bian hao 	編號	c=2 d=1 t=41136
bian hao 	變好	c=1 d=1 t=164370
bian hua 	變化	c=1 d=1 t=40334
bian huai 	變壞	c=1 d=1 t=32684
bian ji 	編輯	c=10 d=1 t=160938
bian jiang 	便將	c=1 d=1 t=44784
bian li 	便利	c=1 d=1 t=18465
bian li 	遍歷	c=4 d=1 t=19648
bian li dian 	便利店	c=12 d=1.00197 t=175700
bian liang 	變量	c=1 d=1 t=29542
bian ma 	編碼	c=201 d=1 t=174764
bian mi 	便祕	c=9 d=1 t=163092
bian pao 	鞭炮	c=1 d=1 t=122224
bian ruan 	變軟	c=1 d=1 t=148429
bian tai 	變態	c=1 d=1 t=11278
bian tong 	變通	c=1 d=1 t=72823
bian tou 	扁頭	c=2 d=1.92774 t=157560
bian wei 	變味	c=2 d=1 t=168601
bian xie 	便攜	c=2 d=1 t=114536
bian xie 	編寫	c=2 d=1.99501 t=36109
bian yi 	編譯	c=1 d=0.100001 t=16395
bian zhi 	變質	c=1 d=1 t=145716
bian zhi 	貶值	c=1 d=1 t=51606
biao 	表	c=181 d=1.03403 t=176129
biao bai 	表白	c=1 d=1 t=57187
biao da 	表達	c=1 d=1 t=129045
biao da shi 	表達式	c=1 d=1 t=12593
biao dan 	表單	c=1 d=1 t=35932
biao ge 	標哥	c=1 d=1 t=33804
biao ge 	表哥	c=46 d=0.1 t=174953
biao ge 	表格	c=2 d=1 t=103905
biao ge men 	表哥們	c=1 d=1 t=174954
biao ji 	標記	c=21 d=1 t=169005
biao ji wu xiao 	標記無效	c=1 d=1 t=80894
biao jie 	表姐	c=6 d=1 t=162282
biao jie gou 	表結構	c=15 d=0.99005 t=176129
biao li 	表裏	c=9 d=1 t=165131
biao li mian 	表裏面	c=4 d=1 t=165033
biao mei 	表妹	c=4 d=1 t=149567
biao mian 	表面	c=2 d=1 t=143460
biao ming 	標明	c=1 d=1 t=27901
biao ming 	表名	c=28 d=1.13266 t=173904
biao qian 	標籤	c=33 d=1 t=99970
biao qing 	表情	c=7 d=0.00188279 t=176129
biao qing bao 	表情包	c=1 d=2.16124e-08 t=176129
biao shi 	標示	c=2 d=0.264477 t=176129
biao shi 	標識	c=14 d=1 t=169002
biao shi 	表示	c=11 d=0.267135 t=176129
biao ti 	標題	c=8 d=1 t=175588
biao tou 	表頭	c=2 d=1.00187 t=81234
biao xian 	表現	c=3 d=1 t=137084
biao yan 	表演	c=1 d=1 t=99562
biao zhi 	標誌	c=1 d=1 t=97865
biao zhu 	標註	c=17 d=1 t=84509
biao zhu xia 	標註下	c=1 d=1 t=42616
biao zhun 	標準	c=6 d=4.27779e-11 t=176129
bie 	別	c=140 d=0.859334 t=176129
bie 	憋	c=6 d=1.70822 t=127240
bie 	鱉	c=1 d=1 t=79122
bie bei 	別被	c=1 d=1 t=175344
bie chi 	別喫	c=10 d=1 t=175692
bie chu qu 	別出去	c=1 d=1 t=81401
bie de 	別的	c=52 d=1.00009 t=168845
bie deng wo 	別等我	c=1 d=1 t=89440
bie dong 	別動	c=6 d=1 t=138308
bie duo xiang 	別多想	c=1 d=1 t=74107
bie fa 	別發	c=3 d=1 t=158417
bie gang 	別剛	c=2 d=1 t=112904
bie gao 	別搞	c=3 d=0.010889 t=176129
bie gei wo 	別給我	c=1 d=1 t=12842
bie gen wo 	別跟我	c=1 d=1 t=172593
bie guan 	別管	c=9 d=0.0319048 t=176129
bie guan ta 	別管他	c=1 d=1 t=139736
bie he 	別喝	c=4 d=1.93239 t=129940
bie he jiu 	別喝就	c=1 d=1 t=90067
bie hua 	別滑	c=1 d=1 t=114495
bie hui 	別回	c=1 d=0.418952 t=176129
bie ji 	別急	c=2 d=1.00003 t=155880
bie jie 	別解	c=1 d=1 t=107086
bie kai 	別開	c=1 d=1 t=81395
bie kan 	別看	c=3 d=1 t=163452
bie lai 	別來	c=7 d=1 t=158338
bie mai 	別買	c=1 d=1 t=58067
bie ni 	別呢	c=1 d=1 t=16512
bie niao 	憋尿	c=2 d=1 t=150715
bie pa 	別怕	c=1 d=1 t=115884
bie pa bie pa 	別怕別怕	c=1 d=1 t=70748
bie qi lai 	別起來	c=1 d=1 t=136880
bie qu 	別去	c=4 d=1.84366 t=82688
bie rang wo 	別讓我	c=1 d=1 t=114058
bie ren 	別人	c=25 d=2.35298e-08 t=176129
bie ren na er 	別人哪兒	c=1 d=1 t=53223
bie sheng qi 	別生氣	c=1 d=1 t=108025
bie shi 	別是	c=1 d=1 t=172595
bie shu 	別墅	c=2 d=1.72253 t=27293
